trial_id,timestamp,sequence,M4D_score,peak_M4D,current_M4D,retention_percentage,decay_rate
0,2026-01-06T09:03:36.210885,standard,1.758190763830964,1.758190763830964,1.758190763830964,100.0,0
1,2026-01-06T09:03:36.210889,standard,1.6736790402923172,1.758190763830964,1.6736790402923172,95.19325631341037,0.049016799652415136
2,2026-01-06T09:03:36.210892,standard,1.5932295786892923,1.758190763830964,1.5932295786892923,90.61756047550644,0.04783874369108479
3,2026-01-06T09:03:36.210894,standard,1.5166471165027662,1.758190763830964,1.5166471165027662,86.26180660840849,0.046698438483451565
4,2026-01-06T09:03:36.210897,standard,1.4437457769824256,1.758190763830964,1.4437457769824256,82.11542266532065,0.04559452309303807
5,2026-01-06T09:03:36.210899,standard,1.3743486179969187,1.758190763830964,1.3743486179969187,78.16834477063897,0.04452568891674926
6,2026-01-06T09:03:36.210901,standard,1.3082872025696197,1.758190763830964,1.3082872025696197,74.41099279346464,0.04349067758859661
7,2026-01-06T09:03:36.210903,standard,1.2454011900576445,1.758190763830964,1.2454011900576445,70.83424709523612,0.04248827896978933
8,2026-01-06T09:03:36.210905,standard,1.1855379469818366,1.758190763830964,1.1855379469818366,67.42942639504257,0.04151732922156174
9,2026-01-06T09:03:36.210908,standard,1.1285521765631628,1.758190763830964,1.1285521765631628,64.18826669889526,0.0405767089572583
10,2026-01-06T09:03:36.210910,standard,1.074305566066343,1.758190763830964,1.074305566066343,61.10290124181479,0.039665341470348024
11,2026-01-06T09:03:36.210912,standard,1.022666451094768,1.758190763830964,1.022666451094768,58.16584139405075,0.03878219103518124
12,2026-01-06T09:03:36.210914,standard,0.9735094960219001,1.758190763830964,0.9735094960219001,55.369958485090486,0.03792626127743809
13,2026-01-06T09:03:36.210916,standard,0.9267153897835169,1.758190763830964,0.9267153897835169,52.7084665013411,0.03709659361134764
14,2026-01-06T09:03:36.210918,standard,0.8821705562924431,1.758190763830964,0.8821705562924431,50.17490561548967,0.036292265740881575
15,2026-01-06T09:03:36.210920,standard,0.8397668787729037,1.758190763830964,0.8397668787729037,47.76312650756483,0.035512390222245
