trial_id,timestamp,sequence,M4D_score,M4D,accuracy,speed,quality,composite_score
0,2026-01-06T09:03:36.211316,standard,1.2455499393929088,1.2455499393929088,31.13874848482272,12.455499393929088,1.3014676392274032,14.96523850599307
1,2026-01-06T09:03:36.211348,standard,1.2455499393929088,1.2455499393929088,31.13874848482272,12.455499393929088,1.3014676392274032,14.96523850599307
2,2026-01-06T09:03:36.211379,standard,1.2455499393929088,1.2455499393929088,31.13874848482272,12.455499393929088,1.3014676392274032,14.96523850599307
3,2026-01-06T09:03:36.211410,deep_understanding,2.5287901410287525,2.5287901410287525,63.219753525718815,25.287901410287525,3.044355376948791,30.51733677098504
4,2026-01-06T09:03:36.211441,deep_understanding,2.5287901410287525,2.5287901410287525,63.219753525718815,25.287901410287525,3.044355376948791,30.51733677098504
5,2026-01-06T09:03:36.211474,deep_understanding,2.5287901410287525,2.5287901410287525,63.219753525718815,25.287901410287525,3.044355376948791,30.51733677098504
6,2026-01-06T09:03:36.211505,emotional_learning,3.344814587389009,3.344814587389009,83.62036468472522,33.44814587389009,4.258400050425378,40.4423035363469
7,2026-01-06T09:03:36.211535,emotional_learning,3.344814587389009,3.344814587389009,83.62036468472522,33.44814587389009,4.258400050425378,40.4423035363469
8,2026-01-06T09:03:36.211566,emotional_learning,3.344814587389009,3.344814587389009,83.62036468472522,33.44814587389009,4.258400050425378,40.4423035363469
9,2026-01-06T09:03:36.211600,standard,1.3770734839003762,1.3770734839003762,34.426837097509406,13.770734839003762,1.4680760004039717,16.55521597897238
10,2026-01-06T09:03:36.211631,standard,1.3770734839003762,1.3770734839003762,34.426837097509406,13.770734839003762,1.4680760004039717,16.55521597897238
11,2026-01-06T09:03:36.211661,standard,1.3770734839003762,1.3770734839003762,34.426837097509406,13.770734839003762,1.4680760004039717,16.55521597897238
12,2026-01-06T09:03:36.211692,deep_understanding,3.0033376724812824,3.0033376724812824,75.08344181203206,30.033376724812825,3.7421827840340063,36.286333773626296
13,2026-01-06T09:03:36.211722,deep_understanding,3.0033376724812824,3.0033376724812824,75.08344181203206,30.033376724812825,3.7421827840340063,36.286333773626296
14,2026-01-06T09:03:36.211753,deep_understanding,3.0033376724812824,3.0033376724812824,75.08344181203206,30.033376724812825,3.7421827840340063,36.286333773626296
15,2026-01-06T09:03:36.211783,emotional_learning,3.9883068695854456,3.9883068695854456,95,39.883068695854455,5.259522046077679,46.71419691397738
16,2026-01-06T09:03:36.211814,emotional_learning,3.9883068695854456,3.9883068695854456,95,39.883068695854455,5.259522046077679,46.71419691397738
17,2026-01-06T09:03:36.211845,emotional_learning,3.9883068695854456,3.9883068695854456,95,39.883068695854455,5.259522046077679,46.71419691397738
18,2026-01-06T09:03:36.211878,standard,1.2267160189383792,1.2267160189383792,30.66790047345948,12.267160189383793,1.2778881526540034,14.737649605165757
19,2026-01-06T09:03:36.211911,standard,1.2267160189383792,1.2267160189383792,30.66790047345948,12.267160189383793,1.2778881526540034,14.737649605165757
20,2026-01-06T09:03:36.211942,standard,1.2267160189383792,1.2267160189383792,30.66790047345948,12.267160189383793,1.2778881526540034,14.737649605165757
21,2026-01-06T09:03:36.211973,deep_understanding,2.7063671053143192,2.7063671053143192,67.65917763285798,27.063671053143192,3.302661375289712,32.67517002043029
22,2026-01-06T09:03:36.212003,deep_understanding,2.7063671053143192,2.7063671053143192,67.65917763285798,27.063671053143192,3.302661375289712,32.67517002043029
23,2026-01-06T09:03:36.212033,deep_understanding,2.7063671053143192,2.7063671053143192,67.65917763285798,27.063671053143192,3.302661375289712,32.67517002043029
24,2026-01-06T09:03:36.212063,emotional_learning,3.617906433979691,3.617906433979691,90.44766084949228,36.17906433979691,4.678954232943036,43.768559807410746
25,2026-01-06T09:03:36.212094,emotional_learning,3.617906433979691,3.617906433979691,90.44766084949228,36.17906433979691,4.678954232943036,43.768559807410746
26,2026-01-06T09:03:36.212124,emotional_learning,3.617906433979691,3.617906433979691,90.44766084949228,36.17906433979691,4.678954232943036,43.768559807410746
27,2026-01-06T09:03:36.212157,standard,1.1490260970634432,1.1490260970634432,28.72565242658608,11.49026097063443,1.1813970203453934,13.799103472521969
